"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"1","Amy Adams",2014.8,26,77.5,"Batman v Superman",330.4
"2","Ben Affleck",2192.2,36,60.9,"Batman v Superman",330.4
"3","Casey Affleck",862.2,21,41.1,"Interstellar",188
"4","Dianna Agron",131.6,4,32.9,"I Am Number Four",55.1
"5","Jessica Alba",952.1,24,39.7,"Fantastic Four (2005)",154.7
"6","Alan Alda",753,22,34.2,"What Women Want",182.8
"7","Joan Allen",854.3,24,35.6,"The Bourne Ultimatum",227.5
"8","Tim Allen",1763,20,88.1,"Toy Story 3",415
"9","Woody Allen",461.3,27,17.1,"Antz",90.8
"10","Mathieu Amalric",300.7,13,23.1,"Quantum of Solace",168.4
"11","Gillian Anderson",145.7,13,11.2,"X-Files",83.9
"12","Julie Andrews",663.7,13,51.1,"Sound of Music",158.7
"13","Jennifer Aniston",1541.3,31,49.7,"Bruce Almighty",242.8
"14","Aziz Ansari",168.6,3,56.2,"Epic",107.5
"15","Christina Applegate",1116.5,21,53.2,"Alvin and the Chipmunks 2",219.6
"16","Tom Arnold",415.9,18,23.1,"True Lies",146.3
"17","Gemma Arterton",513.8,12,42.8,"Quantum of Solace",168.4
"18","Kevin Bacon",1487.3,47,31.6,"Apollo 13",173.8
"19","Penn Badgley",134.6,6,22.4,"Easy A",58.4
"20","Alec Baldwin",2253.2,49,46,"Pearl Harbor",198.5
"21","Christian Bale",2207.6,36,61.3,"The Dark Knight",534.9
"22","Eric Bana",1029.2,16,64.3,"Star Trek",257.7
"23","Anne Bancroft",548,28,19.6,"The Graduate",104.9
"24","Antonio Banderas",2386.4,43,55.5,"Shrek 2",441.2
"25","Elizabeth Banks",2726.3,35,77.9,"Catching Fire",424.7
"26","Javier Bardem",532,15,35.5,"Skyfall",304.4
"27","Ben Barnes",287.7,5,57.5,"The Chronicles of Narnia: Prince Caspian",141.6
"28","Drew Barrymore",1612.9,35,46.1,"E.T.",435.1
"29","Justin Bartha",1134,12,94.5,"The Hangover",277.3
"30","Jay Baruchel",1074.4,18,59.7,"How to Train Your Dragon",217.6
"31","Kim Basinger",970.5,34,28.5,"Batman",251.2
"32","Angela Bassett",881.1,25,35.2,"Green Lantern",116.6
"33","Jason Bateman",1837.2,30,61.2,"Zootopia",341.3
"34","Kathy Bates",2312.5,46,50.3,"Titanic",658.7
"35","Sean Bean",1641.8,31,53,"Fellowship of the Ring",315.5
"36","Kate Beckinsale",1015.1,23,44.1,"Pearl Harbor",198.5
"37","Ashley Bell",56.2,2,28.1,"The Last Exorcism",41
"38","Jamie Bell",572.8,18,31.8,"King Kong",218.1
"39","Kristen Bell",909,16,56.8,"Frozen",400.7
"40","Lake Bell",338.1,8,42.3,"It's Complicated",112.7
"41","Maria Bello",988.3,29,34.1,"Grown Ups",162
"42","Monica Bellucci",1027.9,16,64.2,"Passion of the Christ",370.8
"43","Roberto Benigni",88.9,11,8.1,"Life Is Beautiful",57.6
"44","Annette Bening",598.7,25,23.9,"American Beauty",130.1
"45","Melissa Benoist",50.5,2,25.3,"The Longest Ride",37.4
"46","Peter Berg",195.1,5,39,"Collateral",101
"47","Gael Garcia Bernal",104.1,20,5.2,"Babel",34.3
"48","Halle Berry",1856.6,29,64,"X-Men: The Last Stand",234.4
"49","Paul Bettany",1713.1,22,77.9,"Avengers: Age of Ultron",459
"50","Justin Bieber",79.2,2,39.6,"Justin Bieber",73
"51","Jessica Biel",772.7,22,35.1,"I Now Pronounce You Chuck and Larry",120.1
"52","Rachel Bilson",95.3,5,19.1,"Jumper",80.2
"53","Mike Binder",19.1,2,9.5,"The Upside of Anger",18.8
"54","Jack Black",1616.6,24,67.4,"King Kong",218.1
"55","Lucas Black",730.2,12,60.8,"Furious 7",353
"56","Macon Blair",3.5,2,1.7,"Green Room",3.2
"57","Cate Blanchett",2802.6,39,71.9,"Return of the King",377.8
"58","Nikki Blonsky",118.9,3,39.6,"Hairspray (2007)",118.9
"59","Orlando Bloom",2815.8,17,165.6,"Dead Man's Chest",423.3
"60","Emily Blunt",969.3,24,40.4,"Into the Woods",128
"61","Chadwick Boseman",562.6,4,140.7,"Captain America 3",408.1
"62","Kate Bosworth",529.3,19,27.9,"Superman Returns",200.1
"63","Sofia Boutella",286.8,2,143.4,"Star Trek Beyond",158.5
"64","John Boyega",937.7,2,468.8,"Star Wars: The Force Awakens",936.7
"65","Luke Bracey",103.8,4,25.9,"Point Break (2015)",28.8
"66","Zach Braff",281.7,6,47,"Oz The Great and Powerful",234.9
"67","Kenneth Branagh",626.4,17,36.8,"Harry Potter / Chamber of Secrets",262
"68","Russell Brand",1033.7,9,114.9,"Despicable Me 2",368.1
"69","Marlon Brando",552.5,12,46,"The Godfather",135
"70","Benjamin Bratt",843,20,42.2,"Despicable Me 2",368.1
"71","Ewen Bremner",746.9,14,53.3,"Pearl Harbor",198.5
"72","Abigail Breslin",1103.9,20,55.2,"Signs",228
"73","Jordana Brewster",1118.3,6,186.4,"Furious 7",353
"74","Chris 'Ludacris' Bridges",1269.6,12,105.8,"Furious 7",353
"75","Jeff Bridges",1666.1,50,33.3,"Iron Man",318.4
"76","Jim Broadbent",1111.4,42,26.5,"Harry Potter 6",302
"77","Matthew Broderick",1348,33,40.8,"Lion King",422.8
"78","Adam Brody",341.7,16,21.4,"Mr. & Mrs. Smith",186.3
"79","Adrien Brody",603.2,32,18.9,"King Kong",218.1
"80","Josh Brolin",1592.1,34,46.8,"Avengers: Age of Ultron",459
"81","Albert Brooks",1206.4,21,57.4,"Finding Dory",484.4
"82","Pierce Brosnan",1455.3,37,39.3,"Mrs. Doubtfire",219.2
"83","Chris Brown",268.7,5,53.7,"Think Like a Man",91.5
"84","Emily Browning",238.9,9,26.5,"Lemony Snicket",118.6
"85","Sandra Bullock",2462.6,35,70.4,"Minions",336
"86","Billy Burke",1719.7,15,114.6,"The Twilight Saga: Eclipse",300.5
"87","Edward Burns",370.3,13,28.5,"Saving Private Ryan",216.5
"88","Ty Burrell",413.9,10,41.4,"The Incredible Hulk",134.8
"89","Gerard Butler",1401,28,50,"How to Train Your Dragon",217.6
"90","Amanda Bynes",435.6,7,62.2,"Robots",128.2
"91","Rose Byrne",1455,25,58.2,"Bridesmaids",169.1
"92","Nicolas Cage",2407,56,43,"National Treasure: Book of Secrets",220
"93","Michael Caine",3351.5,58,57.8,"The Dark Knight",534.9
"94","Neve Campbell",432.8,12,36.1,"Scream",103
"95","Steve Carell",2373.5,25,94.9,"Despicable Me 2",368.1
"96","Jim Carrey",2545.2,27,94.3,"The Grinch",260
"97","Helena Bonham Carter",2822,36,78.4,"Harry Potter / Deathly Hallows (P2)",381
"98","Dana Carvey",241.6,7,34.5,"Wayne's World",121.7
"99","Katie Cassidy",150.4,4,37.6,"Nightmare on Elm Street",63.1
"100","James Caviezel",730.9,20,36.5,"Passion of the Christ",370.8
"101","Henry Cavill",868.2,10,86.8,"Batman v Superman",330.4
"102","Cedric the Entertainer",1448.9,27,53.7,"Madagascar 3",216.4
"103","John Cena",228.5,5,45.7,"Trainwreck",110.2
"104","Michael Cera",586.5,12,48.9,"Juno",143.5
"105","Jackie Chan",1615.7,26,62.1,"Rush Hour 2",226.2
"106","Jay Chandrasekhar",NA,1,NA,"The Slammin' Salmon",NA
"107","Jessica Chastain",1139.8,17,67,"The Martian",228.4
"108","Don Cheadle",2885.5,34,84.9,"Avengers: Age of Ultron",459
"109","Cher",373.1,11,33.9,"Moonstruck",80.6
"110","Morris Chestnut",647.6,15,43.2,"Identity Thief",134.5
"111","Jay Chou",105.3,2,52.7,"The Green Hornet",98.8
"112","Erika Christensen",188.8,10,18.9,"Flightplan",89.7
"113","Hayden Christensen",867.7,10,86.8,"Revenge of the Sith",380.3
"114","Jamie Chung",570.7,8,71.3,"The Hangover Part II",254.5
"115","Thomas Haden Church",1154.4,18,64.1,"Spider-Man 3",336.5
"116","Jemaine Clement",494.1,11,44.9,"MIB 3",179
"117","George Clooney",2078.4,34,61.1,"Gravity",274.1
"118","Glenn Close",1361.1,32,42.5,"Guardians of the Galaxy",333.2
"119","Sacha Baron Cohen",1345.9,12,112.2,"Madagascar 3",216.4
"120","Toni Collette",925.5,36,25.7,"Sixth Sense",293.5
"121","Lily Collins",409.5,8,51.2,"The Blind Side",256
"122","Sean 'P. Diddy' Combs",126.4,4,31.6,"Get Him to the Greek",61
"123","Common",1197.1,18,66.5,"Suicide Squad",321.4
"124","Jennifer Connelly",927.4,31,29.9,"A Beautiful Mind",170.7
"125","Sean Connery",1550.6,37,41.9,"Indiana Jones and the Last Crusade",197.2
"126","Steve Coogan",1720,24,71.7,"Despicable Me 2",368.1
"127","Sophie Cookson",128.3,1,128.3,"Kingsman",128.3
"128","Jennifer Coolidge",465.5,13,35.8,"Legally Blonde",96.5
"129","Bradley Cooper",2557.7,25,102.3,"American Sniper",350.1
"130","Chris Cooper",1507.7,32,47.1,"The Amazing Spider-Man 2",202.9
"131","Dominic Cooper",563.4,18,31.3,"Captain America",176.7
"132","Sharlto Copley",571.4,9,63.5,"Maleficent",241.4
"133","Sofia Coppola",66.7,1,66.7,"The Godfather Part III",66.7
"134","John Corbett",591.7,13,45.5,"My Big Fat Greek Wedding",241.4
"135","Abbie Cornish",284.9,12,23.7,"Limitless",79.2
"136","Kevin Costner",1926.4,37,52.1,"Man of Steel",291
"137","Marion Cotillard",1088.5,17,64,"The Dark Knight Rises",448.1
"138","Jai Courtney",978.7,10,97.9,"Suicide Squad",321.4
"139","Brian Cox",1775.2,44,40.3,"X2: X-Men United",214.9
"140","Courteney Cox",579.5,14,41.4,"Bedtime Stories",110.1
"141","Tony Cox",529.1,9,58.8,"Oz The Great and Powerful",234.9
"142","Daniel Craig",1558.5,24,64.9,"Skyfall",304.4
"143","Bryan Cranston",1033.2,15,68.9,"Madagascar 3",216.4
"144","Chace Crawford",78.3,5,15.7,"What to Expect When You're Expecting",41.2
"145","Amanda Crew",174.2,6,29,"The Haunting in Connecticut",55.4
"146","Russell Crowe",1717.4,32,53.7,"Man of Steel",291
"147","Billy Crudup",645.4,23,28.1,"Mission: Impossible III",134
"148","Tom Cruise",3587.2,36,99.6,"War of the Worlds",234.3
"149","Penelope Cruz",817.6,35,23.4,"Pirates of the Caribbean 4",241.1
"150","Billy Crystal",1358.6,19,71.5,"Monsters Inc.",289.9
"151","Ice Cube",1476.5,30,49.2,"22 Jump Street",191.7
"152","Macaulay Culkin",712.8,11,64.8,"Home Alone",285.8
"153","Rory Culkin",289.9,12,24.2,"Signs",228
"154","Benedict Cumberbatch",1229.3,14,87.8,"The Hobbit 2",258.4
"155","Kaley Cuoco",258.4,4,64.6,"Hop",108.1
"156","Jamie Lee Curtis",1064.4,33,32.3,"True Lies",146.3
"157","John Cusack",1157.6,48,24.1,"2012",166.1
"158","Miley Cyrus",321.9,4,80.5,"Bolt",114.1
"159","Willem Dafoe",1598.9,53,30.2,"Spider-Man",403.7
"160","Matt Damon",3112.9,39,79.8,"The Martian",228.4
"161","Claire Danes",552.8,23,24,"Terminator 3",150.4
"162","Anthony Daniels",3420.7,8,427.6,"Star Wars: The Force Awakens",936.7
"163","Paul Dano",601.6,26,23.1,"Cowboys & Aliens",100.2
"164","Alexa Davalos",278.7,5,55.7,"Clash of the Titans",163.2
"165","Jack Davenport",1164.1,8,145.5,"Dead Man's Chest",423.3
"166","Viola Davis",1254.5,24,52.3,"Suicide Squad",321.4
"167","Rosario Dawson",923.4,35,26.4,"Men in Black II",190.4
"168","Charlie Day",609.2,7,87,"The LEGO Movie",257.8
"169","Daniel Day-Lewis",523.6,15,34.9,"Lincoln",182.2
"170","Brian De Palma",NA,1,NA,"De Palma",NA
"171","Emilie de Ravin",64,4,16,"The Hills Have Eyes",41.8
"172","Elizabeth Debicki",234.9,4,58.7,"The Great Gatsby",144.8
"173","Brooklyn Decker",209.6,3,69.9,"Just Go With It",103
"174","Ellen DeGeneres",910.8,6,151.8,"Finding Dory",484.4
"175","Dane DeHaan",293.6,7,41.9,"The Amazing Spider-Man 2",202.9
"176","Thomas Dekker",112.4,5,22.5,"Nightmare on Elm Street",63.1
"177","Benicio Del Toro",948.5,31,30.6,"Guardians of the Galaxy",333.2
"178","Cara Delevigne",353.4,2,176.7,"Suicide Squad",321.4
"179","Julie Delpy",80.5,16,5,"American Werewolf in Paris",26.6
"180","Judi Dench",1773.4,32,55.4,"Skyfall",304.4
"181","Robert DeNiro",3082,79,39,"Meet the Fockers",279.3
"182","Kat Dennings",672.2,11,61.1,"Thor: The Dark World",206.4
"183","Johnny Depp",3368.6,45,74.9,"Dead Man's Chest",423.3
"184","Eugenio Derbez",341.6,9,38,"Beverly Hills Chihuahua",94.5
"185","Zooey Deschanel",797.5,25,31.9,"Elf",173.4
"186","Adam DeVine",359.2,4,89.8,"Pitch Perfect 2",184.3
"187","Danny DeVito",1827.3,45,40.6,"The Lorax",214
"188","Jenna Dewan-Tatum",100.5,4,25.1,"Step Up",65.3
"189","Rosemarie DeWitt",164.5,14,11.7,"The Odd Life of Timothy Green",51.9
"190","Prabhu Dheva",NA,1,NA,"ABCD (Any Body Can Dance) 2",NA
"191","Cameron Diaz",3031.7,34,89.2,"Shrek 2",441.2
"192","Leonardo DiCaprio",2518.3,25,100.7,"Titanic",658.7
"193","Vin Diesel",2151.6,18,119.5,"Furious 7",353
"194","Matt Dillon",811,38,21.3,"Something About Mary",176.5
"195","Snoop Dogg",281.4,8,35.2,"Starsky and Hutch",88.2
"196","Martin Donovan",186.2,21,8.9,"Insomnia",67.4
"197","Portia Doubleday",88.6,4,22.2,"Big Mommas: Like Father Like Son",37.9
"198","Michael Douglas",1776.9,36,49.4,"Ant-Man",180.2
"199","Robert Downey Jr.",3947.4,53,74.5,"The Avengers",623.4
"200","David Duchovny",285.6,19,15,"X-Files",83.9
"201","Hilary Duff",402.3,10,40.2,"Cheaper by the Dozen",138.6
"202","Josh Duhamel",1336.1,13,102.8,"Transformers 2",402.1
"203","Clark Duke",353.7,8,44.2,"The Croods",187.2
"204","Michael Clarke Duncan",1201.7,21,57.2,"Armageddon",201.6
"205","Kirsten Dunst",1760.3,31,56.8,"Spider-Man",403.7
"206","Mark Duplass",114.9,4,28.7,"Tammy",84.5
"207","Robert Duvall",1814.4,55,33,"Deep Impact",140.5
"208","Michael Ealy",645.6,13,49.7,"Think Like a Man",91.5
"209","Clint Eastwood",1710.9,46,37.2,"Gran Torino",148.1
"210","Aaron Eckhart",1423.4,29,49.1,"The Dark Knight",534.9
"211","Zac Efron",953.8,18,53,"The Lorax",214
"212","Taron Egerton",145.9,3,48.6,"Kingsman",128.3
"213","Colin Egglesfield",39.1,2,19.6,"Something Borrowed",39
"214","Jesse Eisenberg",1221.8,27,45.3,"Batman v Superman",330.4
"215","Chiwetel Ejiofor",894.8,18,49.7,"The Martian",228.4
"216","Idris Elba",2584.3,26,99.4,"Avengers: Age of Ultron",459
"217","Ansel Elgort",508.2,6,84.7,"Divergent",150.9
"218","Sam Elliott",714.7,22,32.5,"Hulk",132.2
"219","Cary Elwes",1297.8,30,43.3,"Twister",241.7
"220","Mireille Enos",263.3,3,87.8,"World War Z",202.4
"221","Omar Epps",353.5,15,23.6,"Scream 2",101.4
"222","Chris Evans",2457.8,23,106.9,"The Avengers",623.4
"223","Alice Eve",567.4,15,37.8,"Star Trek Into Darkness",228.8
"224","Dakota Fanning",1407.7,22,64,"The Twilight Saga: Eclipse",300.5
"225","Anna Faris",1516.5,22,68.9,"Alvin and the Chipmunks 2",219.6
"226","Chris Farley",129.7,6,21.6,"Tommy Boy",32.7
"227","Vera Farmiga",777.7,24,32.4,"The Conjuring",137.4
"228","Colin Farrell",1104.9,32,34.5,"Minority Report",132.1
"229","Michael Fassbender",1150.1,22,52.3,"X-Men: Days of Future Past",233.9
"230","Jon Favreau",1345.2,18,74.7,"Iron Man 3",409
"231","Shiloh Fernandez",102.5,7,14.6,"Evil Dead (2013)",54.2
"232","Will Ferrell",2166.9,31,69.9,"The LEGO Movie",257.8
"233","America Ferrera",574.6,14,41,"How to Train Your Dragon",217.6
"234","Tina Fey",640.8,11,58.3,"Megamind",148.4
"235","Sally Field",2075.6,28,74.1,"Forrest Gump",330.3
"236","Ralph Fiennes",2725.8,36,75.7,"Harry Potter / Deathly Hallows (P2)",381
"237","Jessica Brown Findlay",18.4,2,9.2,"Winter's Tale",12.6
"238","Colin Firth",1126.5,33,34.1,"Mamma Mia!",144.1
"239","Jenna Fischer",187.7,8,23.5,"Blades of Glory",118.6
"240","Laurence Fishburne",2218.6,36,61.6,"Batman v Superman",330.4
"241","Carrie Fisher",2258.5,17,132.9,"Star Wars: The Force Awakens",936.7
"242","Isla Fisher",1109.2,16,69.3,"Wedding Crashers",209.3
"243","Dan Fogler",355.4,11,32.3,"Horton Hears a Who!",154.5
"244","Harrison Ford",4871.7,41,118.8,"Star Wars: The Force Awakens",936.7
"245","Will Forte",546,14,39,"The LEGO Movie",257.8
"246","Ben Foster",473.7,21,22.6,"Lone Survivor",125.1
"247","Jodie Foster",1051.8,26,40.5,"Silence of the Lambs",130.7
"248","Megan Fox",1098.9,10,109.9,"Transformers 2",402.1
"249","Jamie Foxx",2025.4,29,69.8,"The Amazing Spider-Man 2",202.9
"250","Claire Foy",32.6,2,16.3,"Season of the Witch",24.8
"251","Cecile de France",67.4,10,6.7,"Hereafter",32.7
"252","Dave Franco",844.3,8,105.5,"The LEGO Movie",257.8
"253","James Franco",2200.8,38,57.9,"Spider-Man",403.7
"254","Brendan Fraser",1105.6,29,38.1,"Mummy Returns",202
"255","Martin Freeman",1429.7,13,110,"Captain America 3",408.1
"256","Morgan Freeman",4470.4,61,73.3,"The Dark Knight",534.9
"257","Anna Friel",169.4,11,15.4,"Limitless",79.2
"258","Nick Frost",443.3,12,36.9,"Snow White and the Huntsman",155.3
"259","Josh Gad",870.5,12,72.5,"Frozen",400.7
"260","Gal Gadot",1136.4,8,142.1,"Batman v Superman",330.4
"261","Zach Galifianakis",1340.7,17,78.9,"The Hangover",277.3
"262","Kyle Gallner",596,14,42.6,"American Sniper",350.1
"263","Vincent Gallo",5.1,8,NA,"Buffalo '66",2.4
"264","James Gandolfini",578.2,28,20.6,"Crimson Tide",91.4
"265","Romola Garai",134.4,11,12.2,"Atonement",50.9
"266","Andrew Garfield",588.7,9,65.4,"The Amazing Spider-Man",262
"267","James Garner",481.5,13,37,"Maverick",101.6
"268","Jennifer Garner",1000.3,21,47.6,"Juno",143.5
"269","Sarah Michelle Gellar",627.4,13,48.3,"Scooby-Doo",153.3
"270","Richard Gere",1408.8,42,33.5,"Pretty Woman",178.4
"271","Ricky Gervais",764.6,10,76.5,"Night at the Museum",250.9
"272","Greta Gerwig",136.5,15,9.1,"No Strings Attached",70.7
