"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"546","Leonard Nimoy",820.3,11,74.6,"Star Trek",257.7
"547","Chuck Norris",279.7,17,16.5,"The Expendables 2",85
"548","Dean Norris",40.2,5,8,"The Secret in their Eyes (2015)",20.2
"549","Edward Norton",1039.9,24,43.3,"The Incredible Hulk",134.8
"550","Lupita Nyong'o",1453.3,5,290.7,"Star Wars: The Force Awakens",936.7
"551","Michael Nyqvist",303.6,9,33.7,"Mission: Impossible 4",209.4
"552","Jack O'Connell",266.7,8,33.3,"Unbroken",115.6
"553","Chris O'Donnell",779.3,19,41,"Batman Forever",184
"554","Jason O'Mara",77.1,2,38.5,"Resident Evil: Extinction",50.6
"555","Sophie Okonedo",103.5,7,14.8,"The Secret Life of Bees",37.8
"556","Gary Oldman",3294,38,86.7,"The Dark Knight",534.9
"557","Elizabeth Olsen",1089.8,13,83.8,"Avengers: Age of Ultron",459
"558","Mary-Kate Olsen",63.5,4,15.9,"Beastly",27.9
"559","Timothy Olyphant",693.8,22,31.5,"Live Free or Die Hard",134.5
"560","Clive Owen",506.5,25,20.3,"Inside Man",88.5
"561","David Oyelowo",508,13,39.1,"Rise of the Planet of the Apes",176.8
"562","Al Pacino",1457.3,39,37.4,"The Godfather",135
"563","Ellen Page",714,15,47.6,"Inception",292.6
"564","Adrianne Palicki",210.4,4,52.6,"G.I. Joe: Retaliation",122.5
"565","Teresa Palmer",468.9,15,31.3,"Bedtime Stories",110.1
"566","Gwyneth Paltrow",1834,33,55.6,"Iron Man 3",409
"567","Hayden Panettiere",338.4,12,28.2,"Remember the Titans",115.7
"568","Anna Paquin",997.6,19,52.5,"X-Men: The Last Stand",234.4
"569","Sarah Jessica Parker",990.6,28,35.4,"Sex and the City",152.6
"570","Dev Patel",388,7,55.4,"Slumdog Millionaire",141.3
"571","Robert Pattinson",1734.2,13,133.4,"The Twilight Saga: Eclipse",300.5
"572","Paula Patton",622,13,47.8,"Mission: Impossible 4",209.4
"573","Sarah Paulson",72.4,4,18.1,"12 Years a Slave",56.7
"574","Guy Pearce",1212.5,33,36.7,"Iron Man 3",409
"575","Amanda Peet",882,26,33.9,"2012",166.1
"576","Simon Pegg",1682.9,19,88.6,"Star Trek",257.7
"577","Kal Penn",415.2,13,31.9,"Superman Returns",200.1
"578","Sean Penn",867.6,39,22.2,"Angry Birds",107.5
"579","Piper Perabo",581.2,16,36.3,"Cheaper by the Dozen",138.6
"580","Ron Perlman",707.6,21,33.7,"Tangled",200.8
"581","Alex Ross Perry",NA,1,NA,"7 Chinese Brothers",NA
"582","Matthew Perry",200.9,7,28.7,"17 Again",64.2
"583","Tyler Perry",948.8,16,59.3,"Gone Girl",167.8
"584","Alex Pettyfer",259.4,7,37.1,"Magic Mike",113.7
"585","Michelle Pfeiffer",1431.1,36,39.8,"Batman Returns",162.8
"586","Ryan Phillippe",400.4,16,25,"I Know What You Did Last Summer",72.6
"587","Joaquin Phoenix",1013.2,27,37.5,"Signs",228
"588","Rosamund Pike",702.9,18,39,"Gone Girl",167.8
"589","Chris Pine",1336.4,19,70.3,"Star Trek",257.7
"590","Jada Pinkett-Smith",1699.4,22,77.2,"The Matrix Reloaded",281.6
"591","Freida Pinto",406.2,8,50.8,"Rise of the Planet of the Apes",176.8
"592","Brad Pitt",2680.9,40,67,"World War Z",202.4
"593","Aubrey Plaza",173.9,11,15.8,"Funny People",51.9
"594","Jesse Plemons",349.1,12,29.1,"Bridge of Spies",72.3
"595","Christopher Plummer",838.2,19,44.1,"National Treasure",173
"596","Sydney Pollack",533.3,10,53.3,"Tootsie",177.2
"597","Sarah Polley",116.2,19,6.1,"Dawn of the Dead",59
"598","Imogen Poots",136.5,15,9.1,"Need for Speed",43.6
"599","Natalie Portman",2063.2,27,76.4,"The Phantom Menace",474.5
"600","Parker Posey",598.7,32,18.7,"Superman Returns",200.1
"601","Franka Potente",360,9,40,"The Bourne Supremacy",176.2
"602","Bel Powley",1.7,3,NA,"The Diary of a Teenage Girl",1.5
"603","Chris Pratt",1566.7,13,120.5,"Jurassic World",652.3
"604","Freddie Prinze Jr.",518.7,16,32.4,"Scooby-Doo",153.3
"605","Jonathan Pryce",1567.5,32,49,"Dead Man's Chest",423.3
"606","James Purefoy",187.8,6,31.3,"John Carter",73.1
"607","Dennis Quaid",1687.4,55,30.7,"The Day After Tomorrow",186.7
"608","Randy Quaid",948.7,38,25,"Independence Day",306.2
"609","Daniel Radcliffe",2634.4,17,155,"Harry Potter / Deathly Hallows (P2)",381
"610","Josh Radnor",NA,3,NA,"Liberal Arts",NA
"611","Edgar Ramirez",537.7,9,59.7,"The Bourne Ultimatum",227.5
"612","Harold Ramis",11.6,1,11.6,"The Last Kiss (2006)",11.6
"613","Noomi Rapace",359.2,9,39.9,"Sherlock Holmes 2",186.8
"614","Emily Ratajkowski",3.6,1,3.6,"We Are Your Friends",3.6
"615","Jackson Rathbone",1302.5,5,260.5,"The Twilight Saga: Eclipse",300.5
"616","Max Records",107.7,2,53.8,"Where the Wild Things Are",77.2
"617","Lance Reddick",120.6,6,20.1,"Don't Say a Word",55
"618","Robert Redford",1641.9,30,54.7,"Captain America 2",259.8
"619","Eddie Redmayne",285,8,35.6,"Les Miserables",148.8
"620","Crystal Reed",21.5,2,10.7,"Skyline",21.4
"621","Christopher Reeve",427.6,15,28.5,"Superman",134.2
"622","Keanu Reeves",1867.2,44,42.4,"The Matrix Reloaded",281.6
"623","John C. Reilly",1540.7,34,45.3,"Guardians of the Galaxy",333.2
"624","Rob Reiner",116.9,1,116.9,"The Wolf of Wall Street",116.9
"625","Jeremy Renner",2500.4,21,119.1,"The Avengers",623.4
"626","Ryan Reynolds",1646.5,31,53.1,"Deadpool",363.1
"627","Giovanni Ribisi",1928.3,31,62.2,"Avatar",760.5
"628","Christina Ricci",743.7,35,21.2,"Addams Family",113.5
"629","Denise Richards",365.4,11,33.2,"World Is Not Enough",126.9
"630","Alan Rickman",1783.4,27,66.1,"Harry Potter / Deathly Hallows (P2)",381
"631","Daisy Ridley",936.7,1,936.7,"Star Wars: The Force Awakens",936.7
"632","Rob Riggle",906.8,12,75.6,"The Lorax",214
"633","Noah Ringer",131.8,1,131.8,"The Last Airbender",131.8
"634","AnnaSophia Robb",272.7,8,34.1,"Bridge to Terabithia",82.3
"635","Margot Robbie",657.4,7,93.9,"Suicide Squad",321.4
"636","Tim Robbins",890.3,37,24.1,"War of the Worlds",234.3
"637","Emma Roberts",467.2,16,29.2,"We're the Millers",150.4
"638","Julia Roberts",2735.3,42,65.1,"Ocean's Eleven",183.4
"639","Chris Rock",1603,23,69.7,"Madagascar 3",216.4
"640","Sam Rockwell",1054.2,34,31,"Iron Man 2",312.4
"641","Gina Rodriguez",50.1,4,12.5,"Deepwater Horizon",26.8
"642","Michelle Rodriguez",2097.2,17,123.4,"Avatar",760.5
"643","Seth Rogen",2207.4,25,88.3,"Kung Fu Panda",215.4
"644","Elisabeth Rohm",56.5,1,56.5,"Joy",56.5
"645","Rebecca Romijn",680.4,8,85.1,"X-Men: The Last Stand",234.4
"646","Saoirse Ronan",270.3,13,20.8,"The Grand Budapest Hotel",59.3
"647","Emmy Rossum",331.2,12,27.6,"The Day After Tomorrow",186.7
"648","Eli Roth",NA,1,NA,"Aftershock",NA
"649","Mickey Rourke",842.3,36,23.4,"Iron Man 2",312.4
"650","Brandon Routh",203.1,3,67.7,"Superman Returns",200.1
"651","Gena Rowlands",358.2,21,17.1,"The Notebook",81
"652","Paul Rudd",1828.8,33,55.4,"Captain America 3",408.1
"653","Mark Ruffalo",1912.5,34,56.2,"The Avengers",623.4
"654","Geoffrey Rush",1541.7,29,53.2,"Pirates of the Caribbean 3",309.4
"655","Alex Russell",180.2,4,45.1,"Unbroken",115.6
"656","Kurt Russell",1558,35,44.5,"Furious 7",353
"657","Rene Russo",1523.9,22,69.3,"Thor: The Dark World",206.4
"658","Amy Ryan",478.4,20,23.9,"Central Intelligence",127.4
"659","Meg Ryan",1151.7,29,39.7,"Top Gun",179.8
"660","Winona Ryder",916.6,36,25.5,"Mr. Deeds",126.3
"661","Mark Rylance",169.7,5,33.9,"Bridge of Spies",72.3
"662","Katee Sackhoff",100.1,3,33.4,"Riddick",42
"663","Zoe Saldana",2239.2,26,86.1,"Avatar",760.5
"664","Andy Samberg",667.1,12,55.6,"Hotel Transylvania 2",169.7
"665","Adam Sandler",2661,32,83.2,"Hotel Transylvania 2",169.7
"666","Rodrigo Santoro",584,9,64.9,"300",210.6
"667","Susan Sarandon",1426.1,59,24.2,"Enchanted",127.8
"668","Peter Sarsgaard",671.3,26,25.8,"Green Lantern",116.6
"669","Akiva Schaffer",9.5,1,9.5,"Popstar",9.5
"670","Taylor Schilling",66.2,3,22.1,"The Lucky One",60.5
"671","Joseph Schneider",NA,1,NA,"I'm Not Jesus Mommy",NA
"672","Rob Schneider",895.1,17,52.7,"Big Daddy",163.5
"673","Matthias Schoenaerts",49.4,11,4.5,"Far from the Madding Crowd",12.2
"674","Liev Schreiber",1155.2,32,36.1,"X-Men Origins: Wolverine",179.9
"675","Jason Schwartzman",457.2,23,19.9,"Saving Mr. Banks",83.3
"676","Arnold Schwarzenegger",1884,30,62.8,"Terminator 2",204.8
"677","David Schwimmer",683,10,68.3,"Madagascar 3",216.4
"678","Adam Scott",578.6,25,23.1,"Step Brothers",100.5
"679","Jason Segel",929.4,15,62,"Despicable Me",251.5
"680","Andy Serkis",2890.6,23,125.7,"Star Wars: The Force Awakens",936.7
"681","Chloe Sevigny",98.6,19,5.2,"Zodiac",33.1
"682","Rufus Sewell",489.1,21,23.3,"Hercules",72.7
"683","Amanda Seyfried",957.3,23,41.6,"Les Miserables",148.8
"684","Tupac Shakur",83.1,6,13.8,"Poetic Justice",27.5
"685","Suraj Sharma",161.4,2,80.7,"Life of Pi",125
"686","Charlie Sheen",905.8,30,30.2,"Platoon",138.5
"687","Michael Sheen",1470.1,24,61.3,"Alice in Wonderland",334.2
"688","Tye Sheridan",195.1,7,27.9,"X-Men: Apocalypse",155.4
"689","M. Night Shyamalan",42.3,1,42.3,"Lady in the Water",42.3
"690","Gabourey Sidibe",132.5,4,33.1,"Tower Heist",78
"691","Sebastián Silva",NA,1,NA,"Nasty Baby",NA
"692","Alicia Silverstone",353.9,14,25.3,"Batman and Robin",107.3
"693","Stellan Skarsgard",3175,43,73.8,"The Avengers",623.4
"694","Alexander Skarsgård",191.4,8,23.9,"The Legend of Tarzan",126.6
"695","John Slattery",773.3,11,70.3,"Iron Man 2",312.4
"696","Kodi Smit-McPhee",440.7,8,55.1,"Dawn of the Planet of the Apes",208.5
"697","Jaden Smith",480,4,120,"The Karate Kid",176.6
"698","Kevin Smith",207.7,6,34.6,"Live Free or Die Hard",134.5
"699","Maggie Smith",647.6,22,29.4,"Sister Act",139.6
"700","Will Smith",3170.3,24,132.1,"Suicide Squad",321.4
"701","Wesley Snipes",976.5,31,31.5,"Blade II",82.3
"702","Kang-ho Song",14,8,1.7,"The Interview (2014)",6.1
"703","Kevin Spacey",1421.8,37,38.4,"Superman Returns",200.1
"704","David Spade",738.5,14,52.8,"Hotel Transylvania 2",169.7
"705","Morgan Spurlock",NA,1,NA,"POM Wonderful Presents: The Greatest Movie Ever Sold",NA
"706","Sylvester Stallone",2050.4,41,50,"Rambo: First Blood Part II",150.4
"707","Sebastian Stan",1158.2,14,82.7,"Captain America 3",408.1
"708","Jason Statham",1283,31,41.4,"Furious 7",353
"709","Imelda Staunton",669.9,15,44.7,"Harry Potter / Phoenix",292
"710","Hailee Steinfeld",466,11,42.4,"Pitch Perfect 2",184.3
"711","Dan Stevens",143.6,4,35.9,"Night at the Museum: Secret of the Tomb",113.7
"712","Ray Stevenson",1166.8,16,72.9,"Thor: The Dark World",206.4
"713","Kristen Stewart",1815.8,27,67.3,"The Twilight Saga: Eclipse",300.5
"714","Patrick Stewart",1222.1,18,67.9,"X-Men: The Last Stand",234.4
"715","Julia Stiles",1040.6,20,52,"The Bourne Ultimatum",227.5
"716","Ben Stiller",2827,37,76.4,"Meet the Fockers",279.3
"717","Emma Stone",1395.5,17,82.1,"The Amazing Spider-Man",262
"718","Sharon Stone",722.7,34,21.3,"Total Recall",119.4
"719","Meryl Streep",2038.2,53,38.5,"Mamma Mia!",144.1
"720","Barbra Streisand",995.4,15,66.4,"Meet the Fockers",279.3
"721","Mark Strong",1130.1,34,33.2,"Sherlock Holmes",209
"722","Jim Sturgess",232.8,12,19.4,"21",81.2
"723","Tom Sturridge",23.2,6,3.9,"Far from the Madding Crowd",12.2
"724","Jason Sudeikis",893.8,17,52.6,"We're the Millers",150.4
"725","Jeremy Sumpter",139.9,4,35,"Peter Pan",48.5
"726","Kiefer Sutherland",1070.5,34,31.5,"Monsters Vs. Aliens",198.4
"727","Hilary Swank",448,16,28,"Million Dollar Baby",100.5
"728","Nick Swardson",792.5,13,61,"Grown Ups 2",133.7
"729","Patrick Swayze",572.8,23,24.9,"Ghost",217.6
"730","Tilda Swinton",1047.9,32,32.7,"The Chronicles of Narnia",291.7
"731","Omar Sy",910.2,5,182,"Jurassic World",652.3
"732","Jorma Taccone",330.6,4,82.7,"The LEGO Movie",257.8
"733","Quentin Tarantino",28.7,2,14.3,"From Dusk Till Dawn",25.8
"734","Channing Tatum",1933,30,64.4,"The LEGO Movie",257.8
"735","Christine Taylor",307.9,7,44,"DodgeBall",114.3
"736","Aimee Teegarden",10.2,3,3.4,"Prom",10.1
"737","Miles Teller",626.7,13,48.2,"Divergent",150.9
"738","Juno Temple",387.1,16,24.2,"Maleficent",241.4
"739","Charlize Theron",1372.4,34,40.4,"Hancock",227.9
"740","Max Thieriot",233.5,9,25.9,"The Pacifier",113.1
"741","Olivia Thirlby",348.9,16,21.8,"Juno",143.5
"742","Emma Thompson",1054.1,30,35.1,"Brave",237.3
"743","Tessa Thompson",166.2,3,55.4,"Creed",109.8
"744","Bella Thorne",242,5,48.4,"Alvin and the Chipmunks: The Road Chip",85.9
"745","Billy Bob Thornton",1039,34,30.6,"Armageddon",201.6
"746","Uma Thurman",774.4,31,25,"Pulp Fiction",107.9
"747","Brenton Thwaites",314.8,4,78.7,"Maleficent",241.4
"748","Justin Timberlake",516.4,13,39.7,"Bad Teacher",100.3
"749","Analeigh Tipton",151.8,4,37.9,"Crazy Stupid Love.",84.4
"750","Marisa Tomei",1695.9,43,39.4,"Captain America 3",408.1
"751","Lily Tomlin",451.6,20,22.6,"9 to 5",103.3
"752","Michelle Trachtenberg",254.2,8,31.8,"Inspector Gadget",97.4
"753","John Travolta",2398.8,44,54.5,"Grease",188.8
"754","Stanley Tucci",3123.9,50,62.5,"Catching Fire",424.7
"755","Chris Tucker",795.9,8,99.5,"Rush Hour 2",226.2
"756","Liv Tyler",1545.6,23,67.2,"Return of the King",377.8
"757","Carrie Underwood",43.9,1,43.9,"Soul Surfer",43.9
"758","Kate Upton",128.2,2,64.1,"The Other Woman",83.9
"759","Karl Urban",1959.9,18,108.9,"Return of the King",377.8
"760","Wilmer Valderrama",76.8,8,9.6,"Larry Crowne",35.6
"761","Nia Vardalos",317.9,5,63.6,"My Big Fat Greek Wedding",241.4
"762","Vince Vaughn",1716.8,34,50.5,"The Lost World",229.1
"763","Alexa Vega",369.5,9,41.1,"Spy Kids",112.7
"764","Alicia Vikander",287,7,41,"Jason Bourne",161.8
"765","Goran Visnjic",86.1,7,12.3,"Practical Magic",46.7
"766","Mike Vogel",523,10,52.3,"The Help",169.7
"767","Jon Voight",2027.8,33,61.4,"Transformers",319.2
"768","Mark Wahlberg",2576.6,37,69.6,"Transformers 4",245.4
"769","David Wain",NA,2,NA,"Delirious (2007)",NA
"770","Rhys Wakefield",46.7,3,15.6,"Endless Love",23.4
"771","Christopher Walken",2092.8,62,33.8,"The Jungle Book",364
"772","Paul Walker",1644.4,19,86.5,"Furious 7",353
"773","Quvenzhane Wallis",99.4,3,33.1,"Annie (2014)",85.9
"774","Christoph Waltz",967.2,12,80.6,"Spectre",200.1
"775","Denzel Washington",2303.6,44,52.4,"American Gangster",130.2
"776","Mia Wasikowska",534.2,17,31.4,"Alice in Wonderland",334.2
"777","Emma Watson",2681.9,17,157.8,"Harry Potter / Deathly Hallows (P2)",381
"778","Naomi Watts",920.6,33,27.9,"King Kong",218.1
"779","Damon Wayans",217.4,11,19.8,"The Last Boy Scout",59.5
"780","Keenen Ivory Wayans",69.2,4,17.3,"A Low Down Dirty Shame",29.4
"781","Marlon Wayans",765.6,17,45,"Scary Movie",157
"782","Shawn Wayans",377.9,5,75.6,"Scary Movie",157
"783","John Wayne",8.2,2,4.1,"The Shootist",8.1
"784","Sigourney Weaver",2276.4,46,49.5,"Avatar",760.5
"785","Hugo Weaving",2121,18,117.8,"Fellowship of the Ring",315.5
"786","Rachel Weisz",1222.3,34,36,"Oz The Great and Powerful",234.9
"787","Leigh Whannell",NA,1,NA,"Cooties",NA
"788","Ben Whishaw",666.8,13,51.3,"Skyfall",304.4
"789","Forest Whitaker",1480.2,53,27.9,"Platoon",138.5
"790","Kristen Wiig",1908.6,30,63.6,"Despicable Me 2",368.1
"791","Olivia Wilde",571.5,21,27.2,"Tron Legacy",172.1
"792","Tom Wilkinson",1201.2,44,27.3,"Rush Hour",141.2
"793","Michael K. Williams",600.9,14,42.9,"The Incredible Hulk",134.8
"794","Michelle Williams",644.8,24,26.9,"Oz The Great and Powerful",234.9
"795","Robin Williams",3279.3,49,66.9,"Night at the Museum",250.9
"796","Bruce Willis",3189.4,60,53.2,"Sixth Sense",293.5
"797","Luke Wilson",645.1,30,21.5,"Legally Blonde",96.5
"798","Owen Wilson",2611,40,65.3,"Night at the Museum",250.9
"799","Patrick Wilson",770.5,18,42.8,"The Conjuring",137.4
"800","Rebel Wilson",467.1,7,66.7,"Pitch Perfect 2",184.3
"801","Kate Winslet",1452.2,30,48.4,"Titanic",658.7
"802","Mary Elizabeth Winstead",479.9,17,28.2,"Live Free or Die Hard",134.5
"803","Reese Witherspoon",1254,30,41.8,"Monsters Vs. Aliens",198.4
"804","Ellen Wong",31.5,1,31.5,"Scott Pilgrim vs. the World",31.5
"805","Elijah Wood",1889.3,37,51.1,"Return of the King",377.8
"806","Shailene Woodley",581.1,8,72.6,"Divergent",150.9
"807","Kenny Wormald",64.4,4,16.1,"Footloose",51.8
"808","Sam Worthington",1205.3,13,92.7,"Avatar",760.5
"809","Jeffrey Wright",2006.1,26,77.2,"Catching Fire",424.7
"810","Robin Wright",332.6,5,66.5,"Forrest Gump",330.3
"811","Anton Yelchin",1087.1,20,54.4,"Star Trek",257.7
"812","Donnie Yen",227.1,10,22.7,"Blade II",82.3
"813","Michelle Yeoh",503,10,50.3,"Kung Fu Panda 2",165.2
"814","Renee Zellweger",1190.2,27,44.1,"Chicago",170.7
"815","Catherine Zeta-Jones",1229.3,24,51.2,"Chicago",170.7
"816","Zhang Ziyi",485.9,10,48.6,"Rush Hour 2",226.2
"817","Josh Zuckerman",8.4,2,4.2,"Sex Drive",8.4
